;Tool  Pocket X Offset     Z Offset     Fnt Ang      Bak Ang      Diameter     Orient Remark
T1     P1     X+235.400001 Z-717.757363 I+0.000000   J+155.000000 D+0.000000   Q3     ; TNMG
T2     P2     X+130.275009 Z-615.208904 I+0.000000   J+0.000000   D+0.000000   Q6     ; Rosca 60g
T3     P0     X+71.764997  Z-707.707360 I+0.000000   J+0.000000   D+0.000000   Q9     ; rosca int
T4     P0     X+72.765003  Z-711.582361 I+0.000000   J+0.000000   D+0.000000   Q3     ; sangrador interno
T5     P0     X+81.815001  Z-668.882362 I+0.000000   J+0.000000   D+0.000000   Q9     ; tmax
T6     P0     X+72.765003  Z-711.457360 I+0.000000   J+0.000000   D+0.000000   Q3     ; tp4
T7     P0     X+108.294492 Z-1367.484999I+0.000000   J+0.000000   D+0.000000   Q3     ; sang de face
T8     P0     X+84.209922  Z-696.750000 I+0.000000   J+0.000000   D+0.000000   Q9     ; tmax 20
T9     P0     X+78.990002  Z-581.443405 I+0.000000   J+0.000000   D+0.000000   Q8     ; broca 8.5
T10    P0     X+48.361750  Z-676.805060 I+0.000000   J+0.000000   D+0.000000   Q9     ; broca 7
T11    P0     X+75.037999  Z-710.157359 I+0.000000   J+0.000000   D+0.000000   Q3     ; interna 20
T12    P0     X+114.670000 Z-206.384632 I+0.000000   J+0.000000   D+0.000000   Q2     ; raio 2mm
T13    P0     X+74.746750  Z-738.875001 I+0.000000   J+0.000000   D+0.000000   Q9     ; tmax tinter
T14    P0     X+34.884922  Z-698.781036 I+0.000000   J+0.000000   D+0.000000   Q3     ; sang int 2
